seats,kms_driven,mileage,engine,max_power,torque,price,registration_tratada_antes_2010,registration_tratada_depois 2020,fuel_type_Diesel,fuel_type_Petrol,ownsership_tratado_First Owner,ownsership_tratado_None,ownsership_tratado_Second Owner,ownsership_tratado_Third Owner,transmission_tratado_Manual,transmission_tratado_None
5,52690,20.89,1197.0,1197.0,8180.0,4.2,False,False,False,True,False,False,True,False,True,False
5,11900,14.0,1497.0,1497.0,11318.0,18.25,False,True,False,True,True,False,False,False,False,False
5,53747,18.6,1197.0,1197.0,8183.0,5.77,False,False,False,True,True,False,False,False,True,False
5,32321,16.55,1995.0,1995.0,1877.0,49.9,False,True,True,False,True,False,False,False,False,False
5,55485,19.4,1198.0,1198.0,868.0,3.35,False,False,False,True,True,False,False,False,True,False
6,20000,1451.0,141.0,141.0,250.0,17.5,False,True,False,True,False,True,False,False,False,True
5,54000,15.8,1997.0,1997.0,247.0,59.75,False,False,False,True,False,False,True,False,False,False
5,49404,21.4,1197.0,1197.0,831.0,5.44,False,False,False,True,True,False,False,False,True,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
7,100000,10.91,3198.0,3198.0,197.0,22.5,False,False,True,False,True,False,False,False,False,False
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
5,32000,1995.0,188.0,188.0,400.0,18.2,False,False,True,False,False,True,False,False,False,True
6,35000,12.4,1996.0,1996.0,21501.0,36.0,False,True,True,False,True,False,False,False,False,False
5,67264,1197.0,82.0,82.0,114.0,3.27,False,False,False,True,False,False,True,False,True,False
6,17000,16.0,1950.0,1950.0,16092.0,65.0,False,False,True,False,True,False,False,False,False,False
5,77584,26.6,998.0,998.0,5816.0,2.8,False,False,False,False,False,False,True,False,True,False
4,50000,7.81,4663.0,4663.0,459.0,98.5,False,False,False,True,True,False,False,False,False,False
7,70000,15.4,2179.0,2179.0,120.0,9.0,False,False,True,False,True,False,False,False,True,False
5,71977,1197.0,8180.0,8180.0,113.0,2.94,False,False,False,True,False,False,True,False,True,False
5,52690,20.89,1197.0,1197.0,8180.0,4.2,False,False,False,True,False,False,True,False,True,False
5,11900,14.0,1497.0,1497.0,11318.0,18.25,False,True,False,True,True,False,False,False,False,False
5,53747,18.6,1197.0,1197.0,8183.0,5.77,False,False,False,True,True,False,False,False,True,False
